Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,308.318269746638,277.118051443941,338.139973643387,346.071627096223,338.637273888197,363.640141436773,367.75831169358,410.757728879097,417.647282647498,488.830652491949,542.871030476037,525.42698276582,568.929021458341,580.603833333096,575.146245808546,565.569730408751,563.872336723147,562.769574140988,553.125151688293,557.861533207459,527.834554499306,408.625855217403,377.665627080705,378.06630312259
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Albania,ALB,1682.8810874018,1218.96427317362,1138.23773998809,1254.67888414888,1367.22058963712,1558.96638565461,1683.76965547424,1495.90035328523,1630.43874131845,1841.80762760566,1991.91435867116,2188.91854451375,2297.10853513924,2428.68934653563,2567.29763687121,2712.86983830331,2894.36032580174,3105.8796756386,3345.98161761476,3459.24695646692,3579.82413181046,3677.89457937717,3771.84781862015,3895.89975621942,4045.11934884933,4199.53912925398,4431.55635814168,4648.23078660658,4893.82375538717,5072.43648354739,4980.61699524696,5511.75743402862,5867.65096230557,6198.17195301204
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Algeria,DZA,3605.68701212608,3478.50976269176,3455.92936294162,3302.91950568634,3201.56914402566,3255.18726869561,3322.95538141474,3297.46603361265,3410.88254401644,3471.49196276497,3553.32420521991,3610.00605631983,3754.66081538446,3945.89816094007,4066.28204806495,4223.60252133943,4279.61547120827,4339.25055772831,4367.56538017541,4336.10054052949,4456.6102741643,4501.3543013352,4518.43978956464,4543.23444006767,4634.10149179952,4685.05902729002,4768.73140081027,4742.90075532529,4717.0035885361,4672.66408678635,4363.68533767783,4456.74687637774,4544.46688060372,4660.40545687895
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,13054.6364326897,13201.7347516166,13291.5356626851,13284.2791128875,12794.7565021718,13092.3111393408,12809.4633079683,12342.0575384016,12446.3086265015,12521.8095058644,12068.2667374983,11871.7937192729,12203.0894714284,12727.4102651386,12665.2829921268,11930.7771236826,12412.6024074562,12524.0160252283,13194.274740128,13233.5784817341,13709.0974895473,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Andorra,AND,31143.1615046334,29642.3199056721,28161.9557223134,26518.2460901533,26587.1507935057,27619.5190355779,28871.2296369485,31140.7043097433,31800.3790054979,32938.6592135008,34113.8334027285,36790.1209900717,38084.5022003398,39620.3387714274,40054.3399679173,40528.1938997392,41322.0723316534,40789.1781297264,37775.1438845998,35604.4007343193,36277.2814831059,37637.5045137987,36206.9954432018,35684.1861967511,37300.6419409868,38654.95287916,40085.0394278177,39361.0807539996,39242.1633307803,39346.2935180487,34536.666145207,36929.0364995869,39780.4152991834,40227.2524257376
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Angola,AGO,2675.05239370666,2612.33170523819,2380.58274213388,1752.72318662558,1719.54294465223,1912.51777523397,2099.35045384819,2176.87757986492,2203.98692701325,2179.06426975438,2172.46326720494,2189.17352158246,2404.97792071531,2403.40415157038,2583.32411461288,2843.3966357968,3065.05576243895,3336.36332465208,3559.19522512236,3494.80724466172,3540.79159568381,3528.16824373399,3682.35229322763,3716.29718727282,3746.81619978613,3641.72893919944,3454.03317187119,3328.8982124109,3196.79006983557,3083.97534427357,2864.16146036893,2832.81777132286,2860.90251922246,2809.15727975557
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Antigua and Barbuda,ATG,13166.5241173582,13385.0114363295,13326.2728796496,13776.8264136781,14420.4693979194,13519.5287711166,14117.8679127333,14588.3079841576,14991.7802610684,15282.9733985907,15961.0918359058,15003.4389169034,14968.0703013883,15703.9347145491,16433.4130541483,17301.2134317518,19259.6486517907,20770.2689732844,20464.786306605,17746.700856041,16135.397384487,15633.9091131821,15989.3900199779,15748.1952024226,15967.284996712,16077.6340769406,16635.895232831,16992.9327495236,18042.1596435727,18525.2588907167,14950.8942397208,16084.7214406048,17456.8722243104,17789.4058123944
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Argentina,ARG,8115.09386370753,8729.82318518892,9293.18692251748,9920.67358582437,10359.8927204871,9934.10776139515,10352.1400002191,11056.6881331002,11348.2022124673,10838.3199346387,10631.6503639029,10051.9448463043,8861.56199282278,9545.53194119994,10302.4465316428,11099.7509190602,11870.2791559298,12811.9021206578,13197.3570267029,12285.3784651865,13387.1553748458,14040.6189124444,13754.4254235596,13946.0950832252,13456.1319159151,13679.6264980954,13265.8860639123,13520.1129846159,13058.3285449954,12706.3978108968,11393.0505957877,12549.2811699342,13276.8232110189,12993.0928872416
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Armenia,ARM,1644.02214502158,1426.82791357144,840.205259177402,792.567859246381,857.394474812969,932.357829471807,995.728275319872,1039.0798243009,1128.09888845227,1180.45341995952,1229.21510436102,1351.12072694555,1535.20452885187,1759.64684829386,1955.22262459229,2240.09273209788,2551.43546358452,2919.3734936373,3141.33193500774,2716.97436280471,2796.08143428043,2943.83687119315,3159.75860786889,3266.29882999873,3393.09252326884,3512.39350276709,3533.88503607007,3815.3747426037,4027.83393010979,4343.45839583019,4032.09043454955,4264.79961505187,4791.00481712183,5197.23509013575
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Aruba,ABW,24763.6538099384,25460.3630272927,25743.4455010025,25870.1533960504,26581.9767488997,26504.1864180809,25779.5979282247,26547.4166076696,26418.0883302727,26384.8105935137,28104.8954362859,29007.7386958774,28535.4639480222,28525.8077063839,29959.7748189582,29081.7066997897,28885.9118700469,29556.8384686554,29870.6648077005,26204.0597361984,25429.2180974853,26093.0542083227,25444.7336646687,26680.1411206342,26773.8226808518,27458.2201537506,27587.2498040483,28548.8904317739,29419.208623316,29699.1805366222,22729.8897593533,26292.9179363154,29195.2670227422,31430.9353682253
