Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"School enrollment, primary (% net)",SE.PRM.NENR,Afghanistan,AFG,..,..,..,26.766,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,Albania,ALB,..,..,..,..,..,..,..,..,..,96.79354,95.38335,93.86551,..,91.69871,90.92345,..,..,..,86.78701,85.34118,85.95611,86.99052,89.53195,91.90565,93.78369,94.17835,94.05692,95.53947,94.52966,..,..,..,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,Algeria,DZA,85.87007,87.60795,88.70739,88.22298,88.16877,88.39232,87.9189,87.36391,..,88.62222,89.39816,91.25702,92.17384,92.40589,92.86403,93.09766,93.20169,95.24939,96.36304,97.44184,97.23353,97.5945,97.31376,..,..,97.54838,97.5908,97.5883,97.63517,..,..,..,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,Angola,AGO,..,..,..,..,..,..,..,..,45.34669,..,..,..,..,..,..,..,..,..,75.37373,74.65254,75.80242,78.02393,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.35554,96.64587,95.5628,95.1015,95.53796,94.10914,..,91.88907,94.16545,..,94.19429,95.69547,..,..,..,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,Argentina,ARG,..,96.1759,..,..,..,..,..,100,99.31647,99.16485,98.92861,99.0026,98.95948,98.87379,98.57855,98.81425,98.85437,99.13952,99.13278,99.09709,98.7319,98.91685,99.05122,99.11341,99.44461,99.49576,99.10172,99.184,..,..,..,..,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,84.48945,82.67607,..,81.05196,83.44942,87.87505,..,..,..,95.15386,96.41176,95.00256,93.76733,92.69541,92.23963,91.94625,90.72273,..,..,..,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,Aruba,ABW,..,..,..,..,..,..,..,..,..,97.82877,98.08635,94.53929,95.31814,93.9307,94.63489,97.80506,98.6384,98.86144,99.05832,95.89151,98.91975,..,..,..,99.23471,..,..,..,..,..,..,..,..,..
